city_name,category,term,estimate,std.error,statistic,p.value
"Atlanta, GA",serious assaults in public,MA(1),0.10612901705179616,0.07139931576019996,1.4864150436432548,0.13922714429036137
"Atlanta, GA",serious assaults in public,SAR(1),-0.38765933008363523,0.07987603739384155,-4.853261913485005,2.967584822254599e-6
"Atlanta, GA",serious assaults in public,linear trend,-0.011128765820319329,0.003944776000595452,-2.8211401150887845,0.005420463182225868
"Atlanta, GA",serious assaults in public,week 2 of the year,-3.1641541516340213,1.7426141944528006,-1.8157513933413123,0.07136643001554518
"Atlanta, GA",serious assaults in public,week 3 of the year,-1.2812772571155517,1.842613954236588,-0.6953584901327835,0.4878854393375406
"Atlanta, GA",serious assaults in public,week 4 of the year,-3.7199342994197613,2.056828836948712,-1.8085774725612327,0.07248027364531173
"Atlanta, GA",serious assaults in public,week 5 of the year,-2.8867401397499473,1.8565051013178087,-1.554932511470528,0.12202824227568171
"Atlanta, GA",serious assaults in public,week 6 of the year,-6.106734762256902,1.8413141646397166,-3.316508871505795,0.0011386160932157566
"Atlanta, GA",serious assaults in public,week 7 of the year,-1.3049893694385766,1.8412670057269194,-0.7087453179683605,0.47956103325773336
"Atlanta, GA",serious assaults in public,week 8 of the year,-1.7256354623506636,1.8427916026250102,-0.9364246396025135,0.3505303286921134
"Atlanta, GA",serious assaults in public,week 9 of the year,-6.359663406990087,2.1580443656726813,-2.9469567485039745,0.0037119881148198345
"Atlanta, GA",serious assaults in public,week 10 of the year,-4.359590229189839,1.9094013313964544,-2.283223624863308,0.02379398507429636
"Atlanta, GA",serious assaults in public,week 11 of the year,-0.7762209283442257,1.8464920659668054,-0.420375988963594,0.6748006150052477
"Atlanta, GA",serious assaults in public,week 12 of the year,-2.979012222717264,2.078929147359028,-1.432955147365969,0.15391081501682624
"Atlanta, GA",serious assaults in public,week 13 of the year,-4.983404749033998,1.8717870425036085,-2.662378056837302,0.008588567843004637
"Atlanta, GA",serious assaults in public,week 14 of the year,-3.3657839851924023,1.8501268975481797,-1.8192179085947011,0.07083330694817348
"Atlanta, GA",serious assaults in public,week 15 of the year,0.5300537441451831,1.8474556102408854,0.28691013803361187,0.7745693079785906
"Atlanta, GA",serious assaults in public,week 16 of the year,-1.4712394072184982,1.862633350519636,-0.7898706456684312,0.4308257700719601
"Atlanta, GA",serious assaults in public,week 17 of the year,-4.119869827180162,2.067066676897698,-1.99309962916308,0.04802861810568487
"Atlanta, GA",serious assaults in public,week 18 of the year,-2.4706749064446796,1.846196503578797,-1.3382513192151266,0.1827999392450979
"Atlanta, GA",serious assaults in public,week 19 of the year,-0.2972248802180141,1.8459366334859362,-0.16101575472648996,0.8722934040415581
"Atlanta, GA",serious assaults in public,week 20 of the year,-0.9613411341445132,1.846987630187065,-0.5204913765703713,0.6034735210828119
"Atlanta, GA",serious assaults in public,week 21 of the year,-0.7191039732654323,1.8647561720167039,-0.38562895463578645,0.7003071267941119
"Atlanta, GA",serious assaults in public,week 22 of the year,-2.5743326016495884,1.8743640318115624,-1.3734432361900961,0.17162380956161863
"Atlanta, GA",serious assaults in public,week 23 of the year,-3.124440678452546,1.8447959111428978,-1.6936511294178205,0.092366468411598
"Atlanta, GA",serious assaults in public,week 24 of the year,-1.368487540625435,1.87956432599782,-0.7280876327012297,0.4676727686973643
"Atlanta, GA",serious assaults in public,week 25 of the year,-1.9993181579112531,1.8608301606765774,-1.0744226959349816,0.28432478301839675
"Atlanta, GA",serious assaults in public,week 26 of the year,2.73363821302938,1.8447619264834683,1.4818379400534951,0.14044006556976615
"Atlanta, GA",serious assaults in public,week 27 of the year,0.12947505318759067,1.8438862749928566,0.07021856767608527,0.9441113912164069
"Atlanta, GA",serious assaults in public,week 28 of the year,3.093513815161031,1.8437660827298592,1.6778233660643163,0.09542317057966998
"Atlanta, GA",serious assaults in public,week 29 of the year,4.010598292172039,1.8457389395679469,2.17289574716934,0.03132692785549247
"Atlanta, GA",serious assaults in public,week 30 of the year,0.5816607761845762,1.8434167654447333,0.3155340599521171,0.7527861751973461
"Atlanta, GA",serious assaults in public,week 31 of the year,0.6646742563639167,2.1694751455332444,0.30637560321095253,0.7597352054386035
"Atlanta, GA",serious assaults in public,week 32 of the year,3.2192427822768837,1.8432092609179518,1.7465422133749708,0.08272364253499467
"Atlanta, GA",serious assaults in public,week 33 of the year,3.8115333358217516,1.843363395534491,2.067705882114786,0.0403516768648629
"Atlanta, GA",serious assaults in public,week 34 of the year,0.07915257912241258,1.8425330600561975,0.04295856657247627,0.9657905743040641
"Atlanta, GA",serious assaults in public,week 35 of the year,3.158522314679469,1.8454117402666321,1.7115542541325297,0.08900518702210672
"Atlanta, GA",serious assaults in public,week 36 of the year,-0.5831959564681877,2.1752716098888887,-0.26810259179449175,0.7889814693036341
"Atlanta, GA",serious assaults in public,week 37 of the year,3.774888268884773,1.8424228779959748,2.0488717948350508,0.042183209751763505
"Atlanta, GA",serious assaults in public,week 38 of the year,-0.8293162501698453,1.8421408714518472,-0.45019154779201875,0.6532095664152405
"Atlanta, GA",serious assaults in public,week 39 of the year,0.34420004727833087,1.8418188902931718,0.18688050659722724,0.8520019006959467
"Atlanta, GA",serious assaults in public,week 40 of the year,-0.8199696258925259,1.8425800564326091,-0.44501166884442267,0.6569402560033532
"Atlanta, GA",serious assaults in public,week 41 of the year,-3.505303951760999,1.8417110595695707,-1.9032865842594382,0.058881131132777334
"Atlanta, GA",serious assaults in public,week 42 of the year,0.2834635083662975,1.8428578635256854,0.15381734748874554,0.8779564527197908
